,avg,count,sum,avg_real,count_real,sum_real
4.0,36.20560417216736,0.5136065185070038,18.59543430930953,,,
25.0,36.41024652800988,0.5091956350952387,18.5399386048042,12.775,2.0,25.55
26.0,36.7001430082228,0.5045044235885143,18.51538449397949,,,
43.0,36.4888865884766,0.5190616939216852,18.939983281930928,49.7,2.0,99.4
68.0,36.13935073811095,0.5203539039939642,18.805252244383183,,,
94.0,36.804138544630256,0.5412399303168058,19.919869381265748,74.96,2.0,149.92
14.0,,,,17.2,1.0,17.2
16.0,,,,25.64,1.0,25.64
20.0,,,,9.89,1.0,9.89
22.0,,,,108.82,1.0,108.82
28.0,,,,62.29,1.0,62.29
31.0,,,,8.5,1.0,8.5
32.0,,,,21.76,1.0,21.76
40.0,,,,13.46,1.0,13.46
50.0,,,,43.64,1.0,43.64
80.0,,,,15.82,1.0,15.82
86.0,,,,22.34,1.0,22.34
92.0,,,,29.14,1.0,29.14
