,avg,count,sum,avg_real,count_real,sum_real
4.0,35.81722759942059,0.5138968583196402,18.40636073706175,,,
25.0,35.92900944369845,0.5081430077552795,18.25707492438877,12.775,2.0,25.55
26.0,36.13056153884623,0.5045848432928324,18.23093373216076,,,
43.0,36.00168376686517,0.5175022408366203,18.630952023244102,49.7,2.0,99.4
68.0,35.80667557768058,0.5193409509956837,18.595872946506553,,,
94.0,36.1682929743873,0.541340559720993,19.57936396290768,74.96,2.0,149.92
14.0,,,,17.2,1.0,17.2
16.0,,,,25.64,1.0,25.64
20.0,,,,9.89,1.0,9.89
22.0,,,,108.82,1.0,108.82
28.0,,,,62.29,1.0,62.29
31.0,,,,8.5,1.0,8.5
32.0,,,,21.76,1.0,21.76
40.0,,,,13.46,1.0,13.46
50.0,,,,43.64,1.0,43.64
80.0,,,,15.82,1.0,15.82
86.0,,,,22.34,1.0,22.34
92.0,,,,29.14,1.0,29.14
